sl_no,name,release_date,denomination,quantity,printer,stamp_images,fdc_images,brochure_pdf
33,Arvind N. Mafatlal,27.10.2023,2000 p,301600,"Security Printing Press, Hyderabad",https://postagestamps.gov.in/Uploads/2023\Arvind N. Mafatlal_STAMP.jpg,https://postagestamps.gov.in/Uploads/2023\Arvind N. Mafatlal_FDC.jpg,https://postagestamps.gov.in/..\Pdf\2023\Arvind N. Mafatlal_BROCHURE.pdf
34,75th Anniversary of Diplomatic Relations between India and Mauritius,02.11.2023,2500 p,111000,"Security Printing Press, Hyderabad",https://postagestamps.gov.in/Uploads/2023\Diplomatic Relations between India and Mauritius_STAMP.jpg,https://postagestamps.gov.in/Uploads/2023\Diplomatic Relations between India and Mauritius_FDC.jpg,https://postagestamps.gov.in/..\Pdf\2023\Diplomatic Relations between India and Mauritius_BROCHURE.pdf
35,Platinum Jubilee (1948-2023) Raman Research Institute,07.11.2023,500 p,316600,"Security Printing Press, Hyderabad",https://postagestamps.gov.in/Uploads/2023\Raman Research Institute_STAMP.jpg,https://postagestamps.gov.in/Uploads/2023\Raman Research Institute_FDC.jpg,https://postagestamps.gov.in/..\Pdf\2023\Raman Research Institute_Brochure.pdf
36,525th Birth Anniversary of Meera Bai,23.11.2023,500 p,201600,"Security Printing Press, Hyderabad",https://postagestamps.gov.in/Uploads/2023\Meera_Bai_Stamp.jpg,https://postagestamps.gov.in/Uploads/2023\Meera_Bai_FDC.jpg,https://postagestamps.gov.in/..\Pdf\2023\Meera_Bai_Brochure.pdf
37,75 Glorious Years of National Defence Academy,30.11.2023,500 p,302100,"Security Printing Press, Hyderabad",https://postagestamps.gov.in/Uploads/2023\75 Glorious Years of National Defence Academy_STAMP.jpg,https://postagestamps.gov.in/Uploads/2023\75 Glorious Years of National Defence Academy_Canceled_FDC.jpg,https://postagestamps.gov.in/..\Pdf\2023\75 Glorious Years of National Defence Academy_Brochure.pdf
38,125 Years of Hindu College,05.12.2023,500 p,302200,"Security Printing Press, Hyderabad",https://postagestamps.gov.in/Uploads/2023\125 Years of Hindu College_Stamp.jpg,https://postagestamps.gov.in/Uploads/2023\125 Years of Hindu College_canceled_FDC.jpg,https://postagestamps.gov.in/..\Pdf\2023\125 Years of Hindu College_Brochure.pdf
39,India Art Architecture Design Biennale 2023,08.12.2023,500p,301600,"Security Printing Press, Hyderabad",https://postagestamps.gov.in/Uploads/2023\India Art Architecture Design Biennale 2023_Stamp.jpg,https://postagestamps.gov.in/Uploads/2023\India Art Architecture Design Biennale 2023_FDC.jpg,https://postagestamps.gov.in/..\Pdf\2023\India Art Architecture Design Biennale 2023_Brochure.pdf
40,Celebrating India and Oman's Friendship,15.12.2023,2500p (2) Rs. 50 for Souvenir Sheet,111500,"Security Printing Press, Hyderabad",https://postagestamps.gov.in/Uploads/2023\Celebrating India and Oman Friendship_Stamp.jpg,https://postagestamps.gov.in/Uploads/2023\Celebrating India and Oman Friendship_FDC.jpg,https://postagestamps.gov.in/..\Pdf\2023\Celebrating India and Oman's Friendship_Brochure.pdf
41,Rani Abbakka Devi,15.12.2023,500p,303200,"Security Printing Press, Hyderabad",https://postagestamps.gov.in/Uploads/2023\Rani Abbakka Devi_Stamp.jpg,https://postagestamps.gov.in/Uploads/2023\Rani Abbakka Devi_FDC.jpg,https://postagestamps.gov.in/..\Pdf\2023\Rani Abbakka Devi_Brochure.pdf
42,Acharya Sushil Kumar,24.12.2023,500p,421220,"Security Printing Press, Hyderabad",https://postagestamps.gov.in/Uploads/2023\Acharya Sushil Kumar_Stamp.jpg,https://postagestamps.gov.in/Uploads/2023\Acharya Sushil Kumar_FDC.jpg,https://postagestamps.gov.in/..\Pdf\2023\Acharya Sushil Kumar_Brochure.pdf
43,Khartargachha Millennium,26.12.2023,500p,303900,"Security Printing Press, Hyderabad",https://postagestamps.gov.in/Uploads/2023\Khartargachha Millennium_Stamp.jpg,https://postagestamps.gov.in/Uploads/2023\Khartargachha Millennium_FDC.jpg,https://postagestamps.gov.in/..\Pdf\2023\Khartargachha Millennium_brochure.pdf
